round,method,num_clients,total_examples,accuracy,test_loss,avg_train_loss,avg_train_time,avg_bit_width,avg_network_score,avg_loss_change,avg_bandwidth_mbps,avg_latency_ms,upload_comm_bytes,download_comm_bytes,total_comm_bytes,avg_reduction,avg_estimated_upload_time,avg_estimated_total_time,upload_comm_kb,download_comm_kb,total_comm_kb
1,adaptive,5,60000,0.9398,0.22695337235927582,0.5422638263593011,13.058657312393189,8.0,0.5284827982557634,1.0,4.687894895383802,99.66984442110281,1125330,4500680,5626010,74.99644498164722,0.6313474448928303,13.690004757286019,1098.955078125,4395.1953125,5494.150390625
2,adaptive,5,60000,0.9782,0.07057642191648483,0.13907788957548428,13.82417345046997,8.0,0.5770233823980154,0.4031859367838169,5.9985582489063525,142.8756950254293,1125330,4500680,5626010,74.99644498164722,0.6618253810711447,14.485998831541117,1098.955078125,4395.1953125,5494.150390625
3,adaptive,5,60000,0.9836,0.05149346962571144,0.09157274582799763,14.295416450500488,5.2,0.5606545413497501,0.04750514374748665,5.466737425624706,122.01707844397932,731519,4500680,5232199,83.74647830994427,0.3998954206953058,14.695311871195791,714.3740234375,4395.1953125,5109.5693359375
4,adaptive,5,60000,0.986,0.041431766003370285,0.07132665308618404,14.325649690628051,5.2,0.5089889314401095,0.020246092741813587,4.690389884365495,119.33836046547519,731519,4500680,5232199,83.74647830994427,0.4052713531817588,14.73092104380981,714.3740234375,4395.1953125,5109.5693359375
5,adaptive,5,60000,0.9878,0.03528296574950218,0.0600120954834757,14.459750986099243,5.2,0.5636127205066598,0.01131455760270833,5.872362281620454,147.45263920677195,731519,4500680,5232199,83.74647830994427,0.3852166324019986,14.844967618501242,714.3740234375,4395.1953125,5109.5693359375
6,adaptive,5,60000,0.9887,0.03266335278749466,0.05212734736306494,14.543970918655395,4.8,0.5200418531366681,0.007884748120410762,5.141719179853403,139.87848945307024,675261,4500680,5175941,84.99646720051192,0.38194223800401594,14.925913156659409,659.4345703125,4395.1953125,5054.6298828125
7,adaptive,5,60000,0.9897,0.0298952367156744,0.046174124870796064,14.531729888916015,4.8,0.49788798501918874,0.005953222492268865,4.339303547860607,105.8632633310538,675261,4500680,5175941,84.99646720051193,0.40825648374480267,14.939986372660817,659.4345703125,4395.1953125,5054.6298828125
8,adaptive,5,60000,0.9903,0.029339201748371124,0.04172192811071155,14.4924241065979,4.4,0.5064612451148246,0.0044521967600845294,4.950161106829101,140.05003236321235,619003,4500680,5119683,86.24645609107955,0.40997095791061366,14.902395064508513,604.4951171875,4395.1953125,4999.6904296875
9,adaptive,5,60000,0.9901,0.02883552759885788,0.03878516080090156,25.158572006225587,4.8,0.5118015064398377,0.003531925255455017,4.449595860950535,99.67020382669965,675261,4500680,5175941,84.99646720051192,0.3922807774541154,25.5508527836797,659.4345703125,4395.1953125,5054.6298828125
10,adaptive,5,60000,0.9903,0.02970758266746998,0.036004421291897626,15.749811744689941,4.8,0.5251521079278917,0.0029235402508230113,5.381985826778734,151.5868999466196,675261,4500680,5175941,84.99646720051192,0.4068938402376648,16.156705584927607,659.4345703125,4395.1953125,5054.6298828125
