round,accuracy,Loss,Train Loss,Train Time(s),Upload Comm(KB),Download Comm(KB),total_comm_kb
1,0.9579,0.1620595888916854,0.5007816117494664,13.56491723060608,4395.1953125,4395.1953125,8790.390625
2,0.9776,0.0718538310644988,0.13870888781198798,13.495631217956543,4395.1953125,4395.1953125,8790.390625
3,0.9843,0.04897217822682325,0.09401669457326942,14.009434175491332,4395.1953125,4395.1953125,8790.390625
4,0.9862,0.040821922684120236,0.07307135410250185,14.155704069137574,4395.1953125,4395.1953125,8790.390625
5,0.9871,0.039603395163783035,0.06146818691644164,14.544701290130615,4395.1953125,4395.1953125,8790.390625
6,0.9883,0.030612160648022045,0.049867704902166264,14.475461387634278,4395.1953125,4395.1953125,8790.390625
7,0.9903,0.027369882194344792,0.04412613029225155,14.656513500213624,4395.1953125,4395.1953125,8790.390625
8,0.9907,0.025872418219263938,0.03845815846171389,14.811127185821533,4395.1953125,4395.1953125,8790.390625
9,0.9921,0.024795198054643305,0.0342914369341204,15.2467679977417,4395.1953125,4395.1953125,8790.390625
10,0.9914,0.024564110935979596,0.03155673247634463,14.62758150100708,4395.1953125,4395.1953125,8790.390625
